Species,Treatment,Core,Timepoint,Sym.Host.old,Sym.Host,logSH,Y2,PropD.old,PropD,Batch,DHW,Recov.Days,Date,InitialDom,PropDAv,Colony
S.siderea,Control,2-18-b,Pre-bleach,0.040466169,0.000757146,-3.120820081,NA,1,1,1,NaN,NaN,22/05/2019,NA,NA,18
S.siderea,Control,2-18-b,Pre-outplant,0.025415635,0.000475542,-3.322811208,NA,1,1,1,NaN,NaN,14/08/2019,NA,NA,18
S.siderea,Control,2-18-c,Post-bleach,0.362559442,0.007359847,-2.133131231,NA,0.980147408,0.903419938,2,NaN,NaN,06/12/2019,NA,NA,18
S.siderea,Control,2-18-c,Pre-bleach,0.020601036,0.000387743,-3.411456059,NA,0.998614233,0.992728986,2,NaN,NaN,17/11/2019,NA,NA,18
S.siderea,Control,2-18-c,Pre-outplant,0.041907727,0.000784119,-3.105618066,NA,1,1,2,NaN,NaN,05/03/2020,NA,NA,18
S.siderea,Bleached,2-18-d,Post-bleach,0,0,-6.5,0.327,NaN,NA,2,6.43,NaN,06/12/2019,D,0.998917672,18
S.siderea,Bleached,2-18-d,Pre-bleach,0.041302133,0.000772788,-3.111939696,0.56,1,1,2,0,NaN,17/11/2019,D,0.952448892,18
S.siderea,Bleached,2-18-d,Pre-outplant,0.089087084,0.001666873,-2.778097431,0.14,1,1,2,NaN,91,05/03/2020,D,1,18
S.siderea,Bleached,2-18-d,Recovery,0.005535234,0.000103568,-3.984776169,0.148,1,1,2,NaN,31,06/01/2020,D,1,18
S.siderea,Control,2-19-a,Post-bleach,0.44322811,0.013704429,-1.863139049,NA,0.847472704,0.512837635,1,NaN,NaN,07/06/2019,NA,NA,19
S.siderea,Control,2-19-a,Pre-bleach,0.057000259,0.001298396,-2.886592822,NA,0.949176189,0.779658304,1,NaN,NaN,22/05/2019,NA,NA,19
S.siderea,Control,2-19-a,Pre-outplant,0.0361359,0.001176815,-2.929291647,NA,0.826899237,0.475084589,1,NaN,NaN,14/08/2019,NA,NA,19
S.siderea,Bleached,2-19-b,Post-bleach,0.003394343,6.26E-05,-4.203323945,0.208,0.985899279,1,1,13.64,NaN,09/07/2019,D,0.998917672,19
S.siderea,Bleached,2-19-b,Pre-bleach,0.024620643,0.00048733,-3.312176602,0.511,0.986470537,0.932498043,1,0,NaN,22/05/2019,D,0.952448892,19
S.siderea,Bleached,2-19-b,Pre-outplant,0.006791096,0.000127066,-3.89597232,0.302,1,1,1,NaN,67,14/08/2019,D,1,19
S.siderea,Bleached,2-19-b,Recovery,0,0,-6.5,0.38,NaN,NA,1,NaN,31,09/08/2019,D,1,19
S.siderea,Bleached,2-19-c,Post-bleach,0.055720812,0.00104257,-2.981894738,1.27E-01,1,1,2,13.29,NaN,19/12/2019,D,0.998917672,19
S.siderea,Bleached,2-19-c,Pre-bleach,0.048289809,0.000924913,-3.033899202,0.512,0.994468456,0.971479252,2,0,NaN,17/11/2019,D,0.952448892,19
S.siderea,Bleached,2-19-c,Pre-outplant,0.191028539,0.003574259,-2.446813921,0.193,1,1,2,NaN,78,05/03/2020,D,1,19
S.siderea,Bleached,2-19-c,Recovery,0.21973858,0.004111442,-2.386005862,0.145,1,1,2,NaN,31,19/01/2020,D,1,19
S.siderea,Bleached,2-19-d,Post-bleach,0.044884468,0.000839816,-3.075816097,9.00E-02,1,1,2,13.29,NaN,19/12/2019,D,0.998917672,19
S.siderea,Bleached,2-19-d,Pre-bleach,0.033582655,0.000628352,-3.20179715,0.509,1,1,2,0,NaN,17/11/2019,D,0.952448892,19
S.siderea,Bleached,2-19-d,Pre-outplant,0.125770031,0.002353233,-2.628335008,0.187,1,1,2,NaN,78,05/03/2020,D,1,19
S.siderea,Bleached,2-19-d,Recovery,0.213064197,0.00398656,-2.399401696,0.135,1,1,2,NaN,31,19/01/2020,D,1,19
S.siderea,Bleached,2-22-a,Post-bleach,1.06E-04,1.05E-05,-4.978656638,0.305,0,0,1,7.5,NaN,13/06/2019,C,0.25,22
